연번,원문,이지리드 문장,시각자료,명칭,검색어
,피고인은 동종 범죄인 폭행 전과가 있다.,,그림,"불리한 정상(동종 전과, 폭행, 발로 밟다)",
131,,이전에도 다른 사람을 발로 밟는 등 때렸다.,,,-
,,,그림,"불리한 정상(동종 전과, 폭행, 음료를 뿌리다)",
132,피고인은 동종 범죄인 폭행 전과가 있다.,이전에도 다른 사람에게 음료를 뿌렸다.,,,-
,,,그림,"불리한 정상(동종 전과, 폭행, 욕하다)",
133,피고인은 동종 범죄인 폭행 전과가 있다.,이전에도 다른 사람에게 욕을 했다.,,,-
,,,그림,"불리한 정상(동종 전과, 스토킹, 사진 촬영)",
134,피고인은 동종 범죄인 스토킹 전과가 있다.,이전에도 몰래 사진을 찍으며 스토킹을 했다.,,,-
,,,그림,"불리한 정상(동종 전과, 스토킹, 따라다님)",
,피고인은 동종 범죄인 스토킹 전과가 있다.,이전에도 계속 따라다니며 스토킹을 했다.,,,
135,,,,,-
,,,그림,"불리한 정상(동종 전과, 스토킹, 연락)",
136,피고인은 동종 범죄인 스토킹 전과가 있다.,이전에도 계속 연락을 하며 스토킹을 했다.,,,-
,,,,,
,,,,,
연번,원문,이지리드 문장,시각자료,명칭,검색어
,,,그림,"불리한 정상(동종 전과, 성착취)",
137,피고인은 동종 범죄인 성착취 전과가 있다.,이전에도 다른 사람을 성적으로 괴롭힌 적이 있다.,,,-
,,,그림,"불리한 정상(동종 전과, 성폭력)",
138,피고인은 동종 범죄인 성폭력 전과가 있다.,이전에도 성폭력을 저질렀다.,,,-
,,,그림,"불리한 정상(동종 전과, 강제추행)",
139,피고인은 동종 범죄인 강제추행 전과가 있다.,이전에도 성희롱을 한 적이 있다.,,,성희롱
